flow_form_id,flow_question_group,flow_question_label,flow_question_id,mis_form_id,mis_question_group,mis_question_label,mis_question_id,match_score,match_confidence,match_method,mis_question_order
1520924,Contact Details,Name of the village headman/TNK/village nurse?,411311001,1749632545233,Contact Details,"Contact Details |
Name of the village headman/TNK/village nurse?",1749632793266,100.0,high,text_similarity,1002
1520924,Contact Details,Phone contact of the Village Headman/TNK or village nurse?,425670981,1749632545233,Contact Details,"Contact Details |
Phone contact of the Village Headman/TNK or village nurse?",1749632819551,100.0,high,text_similarity,1003
1520924,Location of the Village,Which Division-Province-Tikina are you in?,1530921,,,,,51.61,none,none,
1520924,Location of the Village,Geolocation,2590929,,,,,70.59,none,none,
1520924,Location of the Village,Do you have Water Committee,403570958,,,,,62.5,none,none,
1520924,Location of the Village,Is the Water Committee active?,425660973,,,,,58.82,none,none,
1520924,Location of the Village,Village Name,5510924,,,,,75.0,none,none,
1520924,Location of the Village,Name of the Tikina,6530922,1749632545233,Contact Details,"Contact Details |
Name of the village headman/TNK/village nurse?",1749632793266,81.25,low,text_similarity,1002
1520924,Location of the Village,Project Implementation date,9490925,,,,,51.06,none,none,
1520924,Location of the Village,Type of Water Source,9540923,,,,,63.16,none,none,
1520924,Water Quality Testing,Why the water sample could not be taken?,1029540992,1749632545233,Water Quality Testing,"Water Quality Testing |
Why the water sample could not be taken?",1749632887312,100.0,high,text_similarity,2003
1520924,Water Quality Testing,Are you able to collect the water sample?,1040270974,1749632545233,Water Quality Testing,"Water Quality Testing |
Are you able to collect the water sample?",1749632647507,100.0,high,text_similarity,2002
1520924,Water Quality Testing,Take Photo of Sampling Point,1820930,1749632545233,Water Quality Testing,"Water Quality Testing |
Take Photo of Sampling Point",1749633073911,100.0,high,text_similarity,2006
1520924,Water Quality Testing,What is the E.Coli Count using CBT Bags?,297860920,1749632545233,Water Quality Testing,"Water Quality Testing |
What is the E. coli Count using CBT Bags?",1749633325456,97.5,high,text_similarity,2008
1520924,Water Quality Testing,The current status of this system?,360140967,1749632545233,General Remarks,"General Remarks |
The current status of this system?",1749633373968,100.0,high,text_similarity,4001
1520924,Water Quality Testing,Signature of Officer,480942,1749632545233,General Remarks,"General Remarks |
Signature of Officer",1749633421496,100.0,high,text_similarity,4003
1520924,Water Quality Testing,What is the Turbidity in NTU?,6520925,1749632545233,Water Quality Testing,"Water Quality Testing |
What is the Turbidity in NTU?",1749633220745,100.0,high,text_similarity,2013
1520924,Water Quality Testing,What is the Faecal Coliform count in 1cfu/100ml?,6530923,1749632545233,Water Quality Testing,"Water Quality Testing |
What is the Fecal Coliform count in 1cfu/100ml?",1749633295165,97.87,high,text_similarity,2015
1520924,Water Quality Testing,Level of Contamination for H2S kit?,6720921,,,,,55.56,none,none,
1520924,Water Quality Testing,Method of Water Testing Used?,680920,1749632545233,Water Quality Testing,"Water Quality Testing |
Method of Water Testing Used?",1749633001462,100.0,high,text_similarity,2005
1520924,Water Quality Testing,Description of Sampling Point,700922,1749632545233,Water Quality Testing,"Water Quality Testing |
Description of Sampling Point",1749633110662,100.0,high,text_similarity,2007
1520924,Water Quality Testing,General Remarks,7450925,1749632545233,General Remarks,"General Remarks |
General Remarks",1749633350893,100.0,high,text_similarity,4002
1520924,Water Quality Testing,What is the Total Coliform count in 1cfu/100ml?,9530924,1749632545233,Water Quality Testing,"Water Quality Testing |
What is the Total Coliform count in 1cfu/100ml?",1749633259392,100.0,high,text_similarity,2014
1520924,Location of the Village,Date of Inspection,265140920,1749632545233,Contact Details,"Contact Details |
Date of Inspection",1749632545235,0.0,none,manual,1001
1520924,Location of the Village,Weather Condition,6520923,1749632545233,Water Quality Testing,"Water Quality Testing |
Weather Condition",1749632196724,0.0,none,manual,2001
1520924,EPS Photos,Take Photo,1570928,1749632545233,Photo of the EPS,"Photo of the EPS |
Take photo of the EPS",1749730785260,0.0,none,manual,3001
1520924,EPS Photos,Comment on Photo taken,1700923,1749632545233,Photo of the EPS,"Photo of the EPS |
Description of the photo",1749730785261,0.0,none,manual,3002
