flow_form_id,flow_question_group,flow_question_label,flow_question_id,mis_form_id,mis_question_group,mis_question_label,mis_question_id,match_score,match_confidence,match_method,mis_question_order
540671011,General Remarks,List down any water and sanitation related issues,530701024,1749621962296,Final Comments,"Final Comments |
Final Comments and Recommendations",1749623648243,100,high,manual,27004
540671011,School Information,Number of Staff Quarters?,475531011,,,,,70,none,none,
540671011,School Information,What is the school name? (for unregistered),475531012,,,,,64.62,none,none,
540671011,School Information,Number of Boys Students,475531013,,,,,70.27,none,none,
540671011,School Information,Number of staff in the school?,475531014,,,,,69.39,none,none,
540671011,School Information,School Category (Boarding/DayScholar),475531015,,,,,60,none,none,
540671011,School Information,School Level,475531016,,,,,75,none,none,
540671011,School Information,Number of boys in hostel,475531018,,,,,71.79,none,none,
540671011,School Information,Number of Girls Students,475531019,,,,,68.42,none,none,
540671011,School Information,Occupants in Quarters that are non staffs and students?,475531020,,,,,53.33,none,none,
540671011,School Information,Total Population of the School?,513320999,,,,,70.59,none,none,
540671011,School Information,Is the site location Urban or Rural?,513321000,,,,,58.62,none,none,
540671011,School Information,Is the school registered?,513321001,,,,,62.22,none,none,
540671011,School Information,School Gender Type,513321002,,,,,66.67,none,none,
540671011,School Information,Contact Details of the Contact person?,513321004,1749621962296,Project Info,"Project Info |
Phone number of Contact Person",1900000000302,100,high,manual,1003
540671011,School Information,Number of girls in hostel,513321005,,,,,73.47,none,none,
540671011,School Information,Number of students in hostel,513321006,,,,,70.37,none,none,
540671011,School Information,GPS Location of the School,513321007,,,,,93.02,medium,manual,
540671011,School Information,School Ownership Type,513321008,,,,,64,none,none,
540671011,School Information,Contact Person Name?,525291016,1749621962296,Project Info,"Project Info |
Name of Contact Person",1900000000301,82.35,low,text_similarity,1002
540671011,School Information,Location,525291017,,,,,100,high,manual,
540671011,School Information,What is the school name and code?,525291018,,,,,64.41,none,none,
540671011,School Information,What is the school code? (for unregistered),525291019,,,,,70.77,none,none,
540671011,School Information,Does the School Have Staff Quarters?,525291020,,,,,60,none,none,
540671011,WASH Information,How many flush toilets?,519410968,,,,,62.86,none,none,
540671011,WASH Information,Does the girls toilet have menstrual Hygiene facilities such as proper disposal bins and changing room?,519410969,,,,,55.56,none,none,
540671011,WASH Information,Are there separate toilets for students and staff?,519410970,,,,,56.82,none,none,
540671011,WASH Information,Is drinking water from the main source available at the school on the day of the visit?,519410971,,,,,75,none,none,
540671011,WASH Information,How many toilets are at the school?,519410972,,,,,60,none,none,
540671011,WASH Information,How many toilets are currently usable?,519410973,,,,,57.14,none,none,
540671011,WASH Information,What type of toilets is at the school?,519410974,,,,,75,none,none,
540671011,WASH Information,Are there hand washing facilities at the school?,519410975,,,,,60,none,none,
540671011,WASH Information,Is there any other drinking water source for the school?,519410977,,,,,61.9,none,none,
540671011,WASH Information,What was the type of Water Borne Disease Outbreak?,525320956,,,,,80.95,low,manual,
540671011,WASH Information,Has there been any Water Borne Disease Outbreak at the School recently?,525320957,,,,,60,none,none,
540671011,WASH Information,What is the main source of drinking water provided by the school?,525320958,,,,,65.31,none,none,
540671011,WASH Information,Types of Toilets in Teachers Quarters?,525320960,,,,,76.19,none,none,
540671011,WASH Information,Are you able to  take the picture of the Hand washing facility?,525320961,,,,,89.66,medium,manual,
540671011,WASH Information,How many storage tank does the school have?,525320962,,,,,60,none,none,
540671011,WASH Information,How many water seal toilets?,525320963,,,,,63.83,none,none,
540671011,WASH Information,What is the water treatment technology used?,525320964,,,,,66.67,none,none,
540671011,WASH Information,How many compost toilets?,525320965,,,,,60,none,none,
540671011,WASH Information,Is the drinking water at school treated?,527231006,,,,,66.67,none,none,
540671011,WASH Information,How many rainwater harvesting system does the school have?,527231007,,,,,72.73,none,none,
540671011,WASH Information,Is Drinking Water from the main source typically available throughout the year?,527231008,,,,,60,none,none,
540671011,WASH Information,What is the other source of  water?,527231009,,,,,81.97,low,manual,
540671011,WASH Information,Are both soap and water currently available at the hand washing facilities?,527231010,,,,,57.14,none,none,
540671011,WASH Information,Are you able to take the picture of the school toilet?,527231011,,,,,89.66,medium,manual,
540671011,WASH Information,Are the toilets separate for girls and boys?,527231012,,,,,60,none,none,
540671011,WASH Information,Number of Toilets in Teachers Quarters?,527231013,,,,,69.23,none,none,
540671011,WASH Information,How many drinking water points (eg. taps are at the school)?,527231014,,,,,60,none,none,
540671011,WASH Information,Is there any rainwater harvesting system in the school?,527231015,,,,,75.93,none,none,
540671011,WASH Information,What is the source for the rural water scheme?,529621155,,,,,69.33,none,none,
540671011,WASH Information,Are the toilet facilities accessible to those with limited mobility or vision,535141013,,,,,60,none,none,
540671011,WASH Information,Take a picture of the school toilet,535141014,1749621962296,Inspection Photos,"Inspection Photos |
Take a photo",1900000000311,100,high,manual,26001
540671011,WASH Information,How many pit toilets?,535141015,,,,,66.67,none,none,
540671011,WASH Information,Is this source improved or unimproved?,545931014,,,,,60.61,none,none,
540671011,Water Quality Test,Take the geolocation of the sampling point?,499000964,,,,,82.61,low,manual,
540671011,Water Quality Test,What type of water quality test was conducted?,536681023,1749621962296,Project Info,"Project Info |
Water Quality Test Conducted",1749622849604,100,high,manual,1009
540671011,Water Quality Test,Reason for not being able to collect the sample?,536681024,,,,,73.33,none,none,
540671011,Water Quality Test,What is the type of water source?,536681025,1749621962296,Project Info,"Project Info |
Type of Project?",1749621851234,100,high,manual,1023
540671011,Water Quality Test,Take a picture of the water point from where the sample has been collected,536681026,1749621962296,Project Info,"Project Info |
Take photo of sampling point",1849622785200,100,high,manual,1007
540671011,Water Quality Test,What are the results of the CBT Bag test (MPN Number)?,536681027,1749621962296,Project Info,"Project Info |
E.coli Level using CBT?",1749622982588,100,high,manual,1011
540671011,Water Quality Test,Where was the sample taken from?,536681028,1749621962296,Project Info,"Project Info |
Description of sampling point",1900000000309,100,high,manual,1008
540671011,Water Quality Test,Are you able to take the sample?,536681029,1749621962296,Project Info,"Project Info |
Are you able to take the sample?",1749622785185,100,high,manual,1006
540671011,Water Quality Test,What is the Risk Level of CBT value obtained?,536681030,1749621962296,Project Info,"Project Info |
What is the risk level of E.Coli (using CBT)?",1849622785201,100,high,manual,1012
540671011,Water Quality Test,The test conducted with Caddisfly?,536681031,1749621962296,Project Info,"Project Info |
E.coli Level using CBT?",1749622982588,100,high,manual,1011
540671011,Water Quality Test,The test conducted with Caddisfly?,536681031,1749621962296,Project Info,"Project Info |
What is the risk level of E.Coli (using CBT)?",1849622785201,100,high,manual,1012
540671011,Water Quality Test,The test conducted with Caddisfly?,536681031,1749621962296,Project Info,"Project Info |
Take photo of CBT Bag",1749623001234,100,high,manual,1013
540671011,WASH Information,Take a picture of the school hand washing facility,535141016,1749621962296,Inspection Photos,"Inspection Photos |
Take a photo",1900000000311,100,high,manual,26001
