flow_form_id,flow_question_group,flow_question_label,flow_question_id,mis_form_id,mis_question_group,mis_question_label,mis_question_id,match_score,match_confidence,match_method,mis_question_order
2490944,Location of Village,Who is the project Implementing agency/agencies?,1038600921,1749621221728,Location of Village,Who is the project Implementing agency/agencies?,1749622571775,100.0,high,text_similarity,1010
2490944,Location of Village,Inspection Date,20050922,,,,,62.07,none,none,
2490944,Location of Village,Are you able to take the sample?,2500944,1749621221728,Location of Village,Are you able to attach WSMP letter?,1749622691334,80.65,low,text_similarity,1014
2490944,Location of Village,Proposed Completion Date?,2500963,,,,,60.0,none,none,
2490944,Location of Village,What is the Faecl Coliform Count?,349560987,,,,,75.56,none,none,
2490944,Location of Village,What is the pH level?,379720947,,,,,76.47,none,none,
2490944,Location of Village,E.coli Level using CBT?,383580938,,,,,47.83,none,none,
2490944,Location of Village,What is the salinity in ppt?,389680956,,,,,68.42,none,none,
2490944,Location of Village,What is the Total Coliform count,389690950,,,,,75.56,none,none,
2490944,Location of Village,What is the Conductivity?,393260954,,,,,71.79,none,none,
2490944,Location of Village,What is the Turbidity in NTU?,402300959,,,,,68.42,none,none,
2490944,Location of Village,H2S contamination Level?,405990957,,,,,52.63,none,none,
2490944,Location of Village,Locality Plan,4420942,,,,,55.56,none,none,
2490944,Location of Village,Which Division-Province-Tikina,4440929,1749621221728,Location of Village,Which Division-Province-Tikina,1749621221730,100.0,high,text_similarity,1002
2490944,Location of Village,Village Name,4440930,1749621221728,Location of Village,Village Name,1749621329696,100.0,high,text_similarity,1003
2490944,Location of Village,Construction Start Date?,4440948,1749621221728,Location of Village,Construction Start Date,1749622701234,100.0,high,text_similarity,1016
2490944,Location of Village,Project Background,5490943,1749621221728,Location of Village,Project Background,1749621347162,100.0,high,text_similarity,1009
2490944,Location of Village,Are you able to visit all construction sites?,5706163895140352,,,,,76.19,none,none,
2490944,Location of Village,Water Quality Test Conducted,7450933,,,,,52.17,none,none,
2490944,Location of Village,GPS Location,9510944,1749621221728,Location of Village,GPS Location,1749622286673,100.0,high,text_similarity,1004
2490944,Location of Village,WSMP Submitted?,9550937,1749621221728,Location of Village,Is the WSMP submitted?,1749622652941,100.0,high,text_similarity,1012
2490944,Project Scope,What percentage of project is complete?,1034581042,,,,,69.57,none,none,
2490944,Project Scope,Construction of New Reservoir,1540937,,,,,73.17,none,none,
2490944,Project Scope,Type of Water Source?,1550939,,,,,50.0,none,none,
2490944,Project Scope,Installation of Desalination Plant?,2500950,,,,,58.33,none,none,
2490944,Project Scope,Installation of Rainwater Harvesting System?,3550937,,,,,58.33,none,none,
2490944,Project Scope,Installation of Pump system?,5490949,,,,,58.33,none,none,
2490944,Project Scope,Installation of showers,5530944,,,,,58.33,none,none,
2490944,Project Scope,Installation of Air valves,6520939,,,,,58.33,none,none,
2490944,Project Scope,Installation of Taps,8510930,,,,,58.33,none,none,
2490944,Project Scope,Installation of pipes?,9520928,,,,,58.33,none,none,
2490944,Project Scope,Construction of New Water Catchment/Dam?,9540945,,,,,73.17,none,none,
2490944,Project Scope,Sizes of  pipes?,9540949,,,,,50.0,none,none,
2490944,Project Scope,Construction of borehole?,9550938,,,,,72.22,none,none,
2490944,Project Scope,Installation of Washouts,9550939,,,,,58.33,none,none,
2490944,Projects Photos,Take Photos,4440931,,,,,55.56,none,none,
2490944,Projects Photos,Signature of Implementing Agency Representative,5500942,,,,,66.67,none,none,
2490944,Projects Photos,Signature of DWS Officer,9510946,,,,,50.0,none,none,
2490944,Projects Photos,Final Comments and Recommendations,9530935,,,,,55.56,none,none,
