flow_form_id,flow_question_group,flow_question_label,flow_question_id,mis_form_id,mis_question_group,mis_question_label,mis_question_id,match_score,match_confidence,match_method,mis_question_order
5530933,Final Remarks,General Remarks and Recommendations,6550920,,,,,57.14,none,none,
5530933,Final Remarks,Signature of Officer,8550921,,,,,51.61,none,none,
5530933,Location of Village,Who is the implementing agency/agencies?,1031710926,1749623934933,Basic Information,"Basic Information |
Who is the implementing agency/agencies?",1749624452993,100.0,high,text_similarity,1008
5530933,Location of Village,Are you able to capture the locality Plan?,1035730921,,,,,50.0,none,none,
5530933,Location of Village,Locality Plan,1550935,,,,,56.0,none,none,
5530933,Location of Village,What is the Salinity in ppt?,389680954,,,,,61.54,none,none,
5530933,Location of Village,What is the Conductivity ?,393220960,,,,,57.89,none,none,
5530933,Location of Village,What is the Total Coliform Level?,398340987,,,,,58.82,none,none,
5530933,Location of Village,Are you able to take the water sample,398350953,,,,,57.14,none,none,
5530933,Location of Village,What is the pH,402300957,1749623934933,Basic Information,"Basic Information |
Who is the implementing agency/agencies?",1749624452993,80.0,low,text_similarity,1008
5530933,Location of Village,What is the Faecal Coliform Level?,405990956,,,,,57.69,none,none,
5530933,Location of Village,Level of Contamination using CBT bags?,410050993,,,,,50.0,none,none,
5530933,Location of Village,What is the Turbidity in NTU?,413881004,,,,,56.6,none,none,
5530933,Location of Village,Water test conducted?,4420940,,,,,52.38,none,none,
5530933,Location of Village,WSMP Submitted?,4460920,,,,,51.85,none,none,
5530933,Location of Village,GPS Location,480936,1749623934933,Basic Information,"Basic Information |
GPS Location",1749624452992,100.0,high,text_similarity,1006
5530933,Location of Village,Construction Start Date?,5550920,,,,,61.11,none,none,
5530933,Location of Village,Level of contamination of H2S Results?,6510931,,,,,50.85,none,none,
5530933,Location of Village,Village Name,8510923,1749623934933,Basic Information,"Basic Information |
Village Name",1749624452991,100.0,high,text_similarity,1003
5530933,Location of Village,Proposed Completion Date?,8540921,,,,,64.0,none,none,
5530933,Location of Village,Project Background,9510938,1749623934933,Basic Information,"Basic Information |
Project Background",174962445299,100.0,high,text_similarity,1010
5530933,Location of Village,Which Division-Province-Tikina,9530926,1749623934933,Basic Information,"Basic Information |
Which Division-Province-Tikina?",1749624452990,100.0,high,text_similarity,1002
5530933,Project Photos,Take Photo,2490943,,,,,55.56,none,none,
5530933,Project Photos,Comment on Photo taken,6620936,,,,,50.0,none,none,
5530933,Project Scope,What percentage of project is complete?,1009150932,,,,,63.83,none,none,
5530933,Project Scope,Media Placing,2490941,,,,,53.85,none,none,
5530933,Project Scope,Concrete Base Construction,4440926,,,,,58.82,none,none,
5530933,Project Scope,Fencing Installation,4440927,,,,,66.67,none,none,
5530933,Project Scope,Pipework Installation,4450934,,,,,66.67,none,none,
5530933,Project Scope,Netting Installation,5530934,,,,,66.67,none,none,
5530933,Project Scope,Balance Tank Installation,5530935,,,,,66.67,none,none,
5530933,Project Scope,Washout Installation,640928,,,,,66.67,none,none,
5530933,Project Scope,Storage Tank Installation,7450928,,,,,66.67,none,none,
5530933,Project Scope,Sign Board Installation,9490937,,,,,66.67,none,none,
5530933,Project Scope,Lock Installation,9520924,,,,,66.67,none,none,
5530933,Project Scope,Tank Installation,9540935,,,,,66.67,none,none,
