flow_form_id,flow_question_group,flow_question_label,flow_question_id,mis_form_id,mis_question_group,mis_question_label,mis_question_id,match_score,match_confidence,match_method
8520967,Backup Power Supply,Issues with the backup generator ?,277540920,,,,,55.88,none,none
8520967,Backup Power Supply,Is the backup generator well maintained and functional?,311440969,,,,,62.5,none,none
8520967,Backup Power Supply,Take a picture of the generator ?,311460924,,,,,66.67,none,none
8520967,Backup Power Supply,Do you have a backup generator at this Facility,311470920,,,,,53.85,none,none
8520967,Chemicals,Are there any risk associated with Lime dosing?,11160920,1749640508297,Disinfection,Are there any risks associated with Chlorine Gas dosing?,1749650600909,86.67,medium,text_similarity
8520967,Chemicals,What is the dosage rate of Lime in grams per cubic meter?,12130920,1749640508297,Disinfection,What is the dosage of Chlorine in grams per cubic metre?,1749643314972,88.29,medium,text_similarity
8520967,Chemicals,What is the dosing method used for Lime?,12130921,1749640508297,Disinfection,What is the dosing method used for DPD Tablets?,1749651668947,93.33,medium,text_similarity
8520967,Chemicals,Take photo of the risk/Lime dosing system?,15110920,1749640508297,Photos of Inspections,Take Photo,1805756143034,100.0,high,text_similarity
8520967,Chemicals,What are the risks?,1680929,1749640508297,Disinfection,What are these risks associated with Chlorine Gas dosing?,1749650717402,89.47,medium,text_similarity
8520967,Chemicals,Is prechlorination carried out in the plant?,18390920,,,,,74.67,none,none
8520967,Chemicals,Are there any risks associated with Soda Ash dosing?,2650924,1749640508297,Disinfection,Are there any risks associated with Chlorine Gas dosing?,1749650600909,84.62,low,text_similarity
8520967,Chemicals,What is the dosage rate for Alum in (gram per cubic metre) on a daily basis?,3680925,1749640508297,Disinfection,What is the dosage of HTH Powder in grams per cubic metre?,1749650822287,81.74,low,text_similarity
8520967,Chemicals,What is the dosage rate for Soda Ash in (gram per cubic metres) on a daily basis?,4520926,1749640508297,Disinfection,What is the dosage of DPD Tablets in grams per cubic metres?,1749651589021,80.0,low,text_similarity
8520967,Chemicals,Take Photo of the risks/Polymer dosing system,4520928,1749640508297,Photos of Inspections,Take Photo,1805756143034,100.0,high,text_similarity
8520967,Chemicals,What dosing method is used for Polymer?,4540920,1749640508297,Disinfection,What dosing method is used for Chlorine Gas?,1749650525915,88.57,medium,text_similarity
8520967,Chemicals,What is the dosage rate for Polymer in gram per cubic metres?,4550920,1749640508297,Disinfection,What is the dosage of HTH Powder in grams per cubic metre?,1749650822287,82.76,low,text_similarity
8520967,Chemicals,What dosing method is used for Soda Ash?,5690924,1749640508297,Disinfection,What dosing method is used for HTH Powder?,1749650958350,88.89,medium,text_similarity
8520967,Chemicals,Are there any risks associated with Alum dosing?,5700922,1749640508297,Disinfection,Are there any risks associated with Chlorine Gas dosing?,1749650600909,87.91,medium,text_similarity
8520967,Chemicals,What dosing method is used for Alum?,600921,1749640508297,Disinfection,What dosing method is used for Chlorine Gas?,1749650525915,92.54,medium,text_similarity
8520967,Chemicals,What dosing method is used for Prechlorination?,610922,1749640508297,Disinfection,What dosing method is used for Chlorine Gas?,1749650525915,90.7,medium,text_similarity
8520967,Chemicals,Are there any risks associated with Polymer dosing?,6650920,1749640508297,Disinfection,Are there any risks associated with HTH Powder Dosing System?,1749651036837,88.24,medium,text_similarity
8520967,Chemicals,What are the risks?,6650921,1749640508297,Disinfection,What are these risks associated with Chlorine Gas dosing?,1749650717402,89.47,medium,text_similarity
8520967,Chemicals,Are there any risks associated with prechlorination system?,7570925,1749640508297,Disinfection,Are there any risks associated with Chlorine Gas dosing?,1749650600909,85.98,medium,text_similarity
8520967,Chemicals,What is the dosage rate for Chlorine in (gram per cubic metre) for Prechlorination?,7580925,1749640508297,Disinfection,What is the dosage of Chlorine in grams per cubic metre?,1749643314972,85.71,medium,text_similarity
8520967,Chemicals,What are the risks?,7620921,1749640508297,Disinfection,What are these risks associated with Chlorine Gas dosing?,1749650717402,89.47,medium,text_similarity
8520967,Chemicals,What are the risks?,7970920,1749640508297,Disinfection,What are these risks associated with Chlorine Gas dosing?,1749650717402,89.47,medium,text_similarity
8520967,Chemicals,Take a Photo of the risks/ Prechlorination system.,8660924,1749640508297,Photos of Inspections,Take Photo,1805756143034,80.0,low,text_similarity
8520967,Chemicals,What chemicals are use for water treatment?,8660925,,,,,61.29,none,none
8520967,Chemicals,Take a Photo of the risk/Alum dosing system,8660927,1749640508297,Photos of Inspections,Take Photo,1805756143034,80.0,low,text_similarity
8520967,Chemicals,Take photo of risk/Soda Ash Dosing System,9650920,1749640508297,Photos of Inspections,Take Photo,1805756143034,100.0,high,text_similarity
8520967,Chemicals,What are the risks?,9670921,1749640508297,Disinfection,What are these risks associated with Chlorine Gas dosing?,1749650717402,89.47,medium,text_similarity
8520967,Constraints and Recommendation,Have you noted any production constraints?,1580931,1749640508297,Constraints and Recommendation,Have you noted any production constraints?,1749651884201,100.0,high,text_similarity
8520967,Constraints and Recommendation,Any final recommendation?,3580926,1749640508297,Constraints and Recommendation,Any final recommendation?,1749651967194,100.0,high,text_similarity
8520967,Constraints and Recommendation,Signature of DWS Officer,5570927,1749640508297,Constraints and Recommendation,Signature of DWS Officer,1749652108043,100.0,high,text_similarity
8520967,Constraints and Recommendation,Please provide details of production constraints,6580930,1749640508297,Constraints and Recommendation,Please provide details of production constraints,1749651934376,100.0,high,text_similarity
8520967,Constraints and Recommendation,What are your final recommendation for the plant?(NOT to be shown to the interviewee),9580924,1749640508297,Constraints and Recommendation,What are your final recommendation for the plant?(NOT to be shown to the interviewee),1749652009922,100.0,high,text_similarity
8520967,Disinfection,What dosing method is used for Chlorine Gas?,2640928,1749640508297,Disinfection,What dosing method is used for Chlorine Gas?,1749650525915,100.0,high,text_similarity
8520967,Disinfection,What is the dosing method for Sodium Hypochlorite?,2640930,1749640508297,Disinfection,What is the dosing method for Sodium Hypochlorite?,1749651387233,100.0,high,text_similarity
8520967,Disinfection,What is the usage of Chlorine Gas per day?,2650929,1749640508297,Disinfection,What is the usage of Chlorine Gas per day?,1749650488015,100.0,high,text_similarity
8520967,Disinfection,What dosing method is used for HTH Powder?,2660925,1749640508297,Disinfection,What dosing method is used for HTH Powder?,1749650958350,100.0,high,text_similarity
8520967,Disinfection,Take Photo of risks/HTH Powder Dosing System,2660929,1749640508297,Disinfection,Take Photo of risks/HTH Powder Dosing System,1749651246609,100.0,high,text_similarity
8520967,Disinfection,Are there any risks associated with HTH Powder Dosing System?,2670933,1749640508297,Disinfection,Are there any risks associated with HTH Powder Dosing System?,1749651036837,100.0,high,text_similarity
8520967,Disinfection,What are these risks?,4550928,1749640508297,Disinfection,What are these risks associated with Chlorine Gas dosing?,1749650717402,97.56,high,text_similarity
8520967,Disinfection,Take Photo of DPD Tablets Dosing Method,4550930,1749640508297,Disinfection,Take Photo of DPD Tablets Dosing Method,1749651820475,100.0,high,text_similarity
8520967,Disinfection,What is the dosage of Chlorine in grams per cubic metre?,4560923,1749640508297,Disinfection,What is the dosage of Chlorine in grams per cubic metre?,1749643314972,100.0,high,text_similarity
8520967,Disinfection,Take Photo of the Sodium Hypochlorite Dosing System,4560927,1749640508297,Disinfection,Take Photo of the Sodium Hypochlorite Dosing System,1749651546934,100.0,high,text_similarity
8520967,Disinfection,What is the dosage of Sodium Hypochlorite in grams per cubic meter?,620929,1749640508297,Disinfection,What is the dosage of Sodium Hypochlorite in grams per cubic meter?,1749651313502,100.0,high,text_similarity
8520967,Disinfection,What is the dosage of DPD Tablets in grams per cubic metres?,620931,1749640508297,Disinfection,What is the dosage of DPD Tablets in grams per cubic metres?,1749651589021,100.0,high,text_similarity
8520967,Disinfection,What is the usage of Sodium Hypochlorite per day?,6650930,1749640508297,Disinfection,What is the usage of Sodium Hypochlorite per day?,1749651349182,100.0,high,text_similarity
8520967,Disinfection,What are these risks?,6650932,1749640508297,Disinfection,What are these risks associated with Chlorine Gas dosing?,1749650717402,97.56,high,text_similarity
8520967,Disinfection,What are these risks?,6660926,1749640508297,Disinfection,What are these risks associated with Chlorine Gas dosing?,1749650717402,97.56,high,text_similarity
8520967,Disinfection,What is the dosage of HTH Powder in grams per cubic metre?,7600931,1749640508297,Disinfection,What is the dosage of HTH Powder in grams per cubic metre?,1749650822287,100.0,high,text_similarity
8520967,Disinfection,Are there any risks associated with the Sodium Hypochlorite Dosing System?,7600935,1749640508297,Disinfection,Are there any risks associated with the Sodium Hypochlorite Dosing System?,1749651430476,100.0,high,text_similarity
8520967,Disinfection,Take Photo of risks/Chlorine Gas Dosing System,7610927,1749640508297,Disinfection,Take Photo of risks/Chlorine Gas Dosing System,1749650754661,100.0,high,text_similarity
8520967,Disinfection,What is the usage of DPD Tablets per day?,7620929,1749640508297,Disinfection,What is the usage of DPD Tablets per day?,1749651628503,100.0,high,text_similarity
8520967,Disinfection,Are there any risks associated with the DPD Tablets Dosing Method?,8680929,1749640508297,Disinfection,Are there any risks associated with the DPD Tablets Dosing Method?,1749651720684,100.0,high,text_similarity
8520967,Disinfection,Are there any risks associated with Chlorine Gas dosing?,9630937,1749640508297,Disinfection,Are there any risks associated with Chlorine Gas dosing?,1749650600909,100.0,high,text_similarity
8520967,Disinfection,What is the dosing method used for DPD Tablets?,9630941,1749640508297,Disinfection,What is the dosing method used for DPD Tablets?,1749651668947,100.0,high,text_similarity
8520967,Disinfection,What is the usage of HTH Powder per day?,9650933,1749640508297,Disinfection,What is the usage of HTH Powder per day?,1749650926089,100.0,high,text_similarity
8520967,Disinfection,What are these risks?,9650935,1749640508297,Disinfection,What are these risks associated with Chlorine Gas dosing?,1749650717402,97.56,high,text_similarity
8520967,Disinfection,What Disinfection Techniques are used at the Plant?,9660928,1749640508297,Disinfection,What Disinfection Techniques are used at the Plant?,1749641480407,100.0,high,text_similarity
8520967,Disinfection,Do you have Standard Operating Procedures for Disinfection?,9670928,1749640508297,Disinfection,Do you have Standard Operating Procedures for Disinfection?,1749643276889,100.0,high,text_similarity
8520967,Filtration,Are there any Clarifier /Sedimentation Tanks at the Plant?,1660928,,,,,60.98,none,none
8520967,Filtration,Take Photo of risks/Clarifier/Sedimentation tanks,1680935,1749640508297,Photos of Inspections,Take Photo,1805756143034,100.0,high,text_similarity
8520967,Filtration,Are there any risks associated with the Clarifiers/Sedimentation Tanks?,3690926,1749640508297,Disinfection,Are there any risks associated with Chlorine Gas dosing?,1749650600909,81.25,low,text_similarity
8520967,Filtration,Types of Filtration System,3690927,,,,,61.9,none,none
8520967,Filtration,What are these risks?,3700927,1749640508297,Disinfection,What are these risks associated with Chlorine Gas dosing?,1749650717402,97.56,high,text_similarity
