flow_surveyId,flow_question_group,flow_question_label,flow_question_id,mis_id,mis_question_group,mis_question_label,mis_question_id
2490944,Location of Village,Who is the project Implementing agency/agencies?,1038600921,1749621221728,Location of Village,Who is the project Implementing agency/agencies?,1749622571775
2490944,Location of Village,Inspection Date,20050922,1749621962296;1749631041125,Project Info;Inspection Info,Inspection Date,1749621962298;1749631041127
2490944,Location of Village,Are you able to take the sample?,2500944,1749621962296,Project Info,Are you able to take the sample?,1749622785185
2490944,Location of Village,Proposed Completion Date?,2500963,1749621962296,Project Info,Proposed Completion Date?,1749622695675
2490944,Location of Village,What is the Faecl Coliform Count?,349560987,1749621221728,Location of Village,Project name;Which Division-Province-Tikina;Village Name;GPS Location;The project is meant for?;Number of Households;Number of Population;What is the project cost?;Project Background;Who is the project Implementing agency/agencies?;Please specify other implementing agency;Is the WSMP submitted?;Is the WSMP approved?;Are you able to attach WSMP letter?;Attach The DWS WSMP Letter;Construction Start Date;Do you have Water Committee and Is it active?,1749621221731;1749621221730;1749621329696;1749622286673;1749622291234;1749622327890;1749622341234;1749622354567;1749621347162;1749622571775;1749622641234;1749622652941;1749622675800;1749622691334;1749622711234;1749622701234;1749622715678
2490944,Location of Village,What is the pH level?,379720947,1749621221728,Location of Village,Project name;Which Division-Province-Tikina;Village Name;GPS Location;The project is meant for?;Number of Households;Number of Population;What is the project cost?;Project Background;Who is the project Implementing agency/agencies?;Please specify other implementing agency;Is the WSMP submitted?;Is the WSMP approved?;Are you able to attach WSMP letter?;Attach The DWS WSMP Letter;Construction Start Date;Do you have Water Committee and Is it active?,1749621221731;1749621221730;1749621329696;1749622286673;1749622291234;1749622327890;1749622341234;1749622354567;1749621347162;1749622571775;1749622641234;1749622652941;1749622675800;1749622691334;1749622711234;1749622701234;1749622715678
2490944,Location of Village,E.coli Level using CBT?,383580938,1749621962296,Project Info,E.coli Level using CBT?,1749622982588
2490944,Location of Village,What is the salinity in ppt?,389680956,1749621221728,Location of Village,Project name;Which Division-Province-Tikina;Village Name;GPS Location;The project is meant for?;Number of Households;Number of Population;What is the project cost?;Project Background;Who is the project Implementing agency/agencies?;Please specify other implementing agency;Is the WSMP submitted?;Is the WSMP approved?;Are you able to attach WSMP letter?;Attach The DWS WSMP Letter;Construction Start Date;Do you have Water Committee and Is it active?,1749621221731;1749621221730;1749621329696;1749622286673;1749622291234;1749622327890;1749622341234;1749622354567;1749621347162;1749622571775;1749622641234;1749622652941;1749622675800;1749622691334;1749622711234;1749622701234;1749622715678
2490944,Location of Village,What is the Total Coliform count,389690950,1749621962296,Project Info,What is the Total Coliform count?,1749623024122
2490944,Location of Village,What is the Conductivity?,393260954,1749621221728,Location of Village,Project name;Which Division-Province-Tikina;Village Name;GPS Location;The project is meant for?;Number of Households;Number of Population;What is the project cost?;Project Background;Who is the project Implementing agency/agencies?;Please specify other implementing agency;Is the WSMP submitted?;Is the WSMP approved?;Are you able to attach WSMP letter?;Attach The DWS WSMP Letter;Construction Start Date;Do you have Water Committee and Is it active?,1749621221731;1749621221730;1749621329696;1749622286673;1749622291234;1749622327890;1749622341234;1749622354567;1749621347162;1749622571775;1749622641234;1749622652941;1749622675800;1749622691334;1749622711234;1749622701234;1749622715678
2490944,Location of Village,What is the Turbidity in NTU?,402300959,1749621962296,Project Info,What is the Turbidity in NTU?,1749623109418
2490944,Location of Village,H2S contamination Level?,405990957,1749621221728,Location of Village,Project name;Which Division-Province-Tikina;Village Name;GPS Location;The project is meant for?;Number of Households;Number of Population;What is the project cost?;Project Background;Who is the project Implementing agency/agencies?;Please specify other implementing agency;Is the WSMP submitted?;Is the WSMP approved?;Are you able to attach WSMP letter?;Attach The DWS WSMP Letter;Construction Start Date;Do you have Water Committee and Is it active?,1749621221731;1749621221730;1749621329696;1749622286673;1749622291234;1749622327890;1749622341234;1749622354567;1749621347162;1749622571775;1749622641234;1749622652941;1749622675800;1749622691334;1749622711234;1749622701234;1749622715678
2490944,Location of Village,Locality Plan,4420942,1749621221728,Location of Village,Project name;Which Division-Province-Tikina;Village Name;GPS Location;The project is meant for?;Number of Households;Number of Population;What is the project cost?;Project Background;Who is the project Implementing agency/agencies?;Please specify other implementing agency;Is the WSMP submitted?;Is the WSMP approved?;Are you able to attach WSMP letter?;Attach The DWS WSMP Letter;Construction Start Date;Do you have Water Committee and Is it active?,1749621221731;1749621221730;1749621329696;1749622286673;1749622291234;1749622327890;1749622341234;1749622354567;1749621347162;1749622571775;1749622641234;1749622652941;1749622675800;1749622691334;1749622711234;1749622701234;1749622715678
2490944,Location of Village,Which Division-Province-Tikina,4440929,1749621221728,Location of Village,Which Division-Province-Tikina,1749621221730
2490944,Location of Village,Village Name,4440930,1749621221728,Location of Village,Village Name,1749621329696
2490944,Location of Village,Construction Start Date?,4440948,1749621221728,Location of Village,Construction Start Date,1749622701234
