flow_surveyId,flow_question_group,flow_question_label,flow_question_id,mis_id,mis_question_group,mis_question_label,mis_question_id
27040920,Comments and Recommendations,Comments from DWS Staff,18910928,1749611905372;1749627302948,Comments and Recommendations,Comments from DWS Staff,1749614058464;1749627734073
27040920,Comments and Recommendations,Comments from Supervisor,27080934,1749611905372;1749627302948,Comments and Recommendations,Comments from Supervisor,1749612019055;1749627698340
27040920,General Information on Pump Station,Odour,18940921,1749611905372,General Information on Pump Station,Odour,1749613625174
27040920,General Information on Pump Station,Number of pumps standby,20390925,1749611905372,General Information on Pump Station,Number of pumps standby,1749613513292
27040920,General Information on Pump Station,OHS equipment,20400926,1749611905372,General Information on Pump Station,OHS equipment,1749613958725
27040920,General Information on Pump Station,Security gate and Fencing,21280921,1749611905372,General Information on Pump Station,Security gate and Fencing,1749612437237
27040920,General Information on Pump Station,Pump Station Lid,21290925,1749611905372,General Information on Pump Station,Pump Station Lid,1749613029710
27040920,General Information on Pump Station,Power Backup System,22220932,1749611905372,General Information on Pump Station,Power Backup System,1749613534231
27040920,General Information on Pump Station,Log Book available and updated?,22250920,1749611905372,General Information on Pump Station,Log Book available and updated?,1749611990753
27040920,General Information on Pump Station,Lights,22260921,1749611905372,General Information on Pump Station,Lights,1749613872416
27040920,General Information on Pump Station,Sluice valve,23240925,1749611905372,General Information on Pump Station,Sluice valve,1749612827907
27040920,General Information on Pump Station,Hour Run Meter,23270921,1749611905372,General Information on Pump Station,Hour Run Meter,1749613144170
27040920,General Information on Pump Station,Building Conditions,24210922,1749611905372,General Information on Pump Station,Inspection Date;Log Book available and updated?;Ground Conditions;Facility Condition;Security gate and Fencing;Non return Valve;Sluice valve;Ventilation;Electrical Panel;Pump Station Lid;Gantry;Hour Run Meter;Amp Meter;Volt Meter;Guardrails for Pump Station;Number of pumps in operation;Number of pumps standby;Power Backup System;Odour;Fats/Grease Balls;Pump Station Status;Pump Status;Lights;Water Supply;OHS equipment,1749611905374;1749611990753;1749612149744;1749612390514;1749612437237;1749612781881;1749612827907;1749612881122;1749612965593;1749613029710;1749613073320;1749613144170;1749613187910;1749613395029;1749613433763;1749613489958;1749613513292;1749613534231;1749613625174;1749613671183;1749613710063;1749613769968;1749613872416;1749613907567;1749613958725
27040920,General Information on Pump Station,Ground Conditions,24230921,1749611905372,General Information on Pump Station,Ground Conditions,1749612149744
27040920,General Information on Pump Station,Pump Status,24260925,1749611905372,General Information on Pump Station,Pump Status,1749613769968
27040920,General Information on Pump Station,Water Supply,24280923,1749611905372,General Information on Pump Station,Water Supply,1749613907567
27040920,General Information on Pump Station,Non return Valve,25150924,1749611905372,General Information on Pump Station,Non return Valve,1749612781881
27040920,General Information on Pump Station,Ventilation,26190921,1749611905372,General Information on Pump Station,Ventilation,1749612881122
27040920,General Information on Pump Station,Gantry,26190922,1749611905372,General Information on Pump Station,Gantry,1749613073320
27040920,General Information on Pump Station,Electrical Panel,26220925,1749611905372,General Information on Pump Station,Electrical Panel,1749612965593
27040920,General Information on Pump Station,Number of pumps in operation,27080929,1749611905372,General Information on Pump Station,Number of pumps in operation,1749613489958
27040920,General Information on Pump Station,Fats/Grease Balls,27090923,1749611905372,General Information on Pump Station,Fats/Grease Balls,1749613671183
27040920,General Information on Pump Station,Volt Meter,27100924,1749611905372,General Information on Pump Station,Volt Meter,1749613395029
27040920,General Information on Pump Station,Pump Station Status,28090934,1749611905372,General Information on Pump Station,Pump Station Status,1749613710063
27040920,General Information on Pump Station,Guardrails for Pump Sation,28100925,1749611905372,General Information on Pump Station,Inspection Date;Log Book available and updated?;Ground Conditions;Facility Condition;Security gate and Fencing;Non return Valve;Sluice valve;Ventilation;Electrical Panel;Pump Station Lid;Gantry;Hour Run Meter;Amp Meter;Volt Meter;Guardrails for Pump Station;Number of pumps in operation;Number of pumps standby;Power Backup System;Odour;Fats/Grease Balls;Pump Station Status;Pump Status;Lights;Water Supply;OHS equipment,1749611905374;1749611990753;1749612149744;1749612390514;1749612437237;1749612781881;1749612827907;1749612881122;1749612965593;1749613029710;1749613073320;1749613144170;1749613187910;1749613395029;1749613433763;1749613489958;1749613513292;1749613534231;1749613625174;1749613671183;1749613710063;1749613769968;1749613872416;1749613907567;1749613958725
27040920,General Information on Pump Station,Amp Meter,28110928,1749611905372,General Information on Pump Station,Amp Meter,1749613187910
27040920,Pump Station Registration,Which Division are you in?,20330920,1749611049520,Registration,Which Division are you in?,1749611049541
27040920,Pump Station Registration,Name of Pump Station,22190920,1749611049520,Registration,Name of Pump Station,1749611657406
27040920,Pump Station Registration,Which District are you in?,22220936,,,,
27040920,Pump Station Registration,Take photo of Pump Station,23190921,1749611049520;1749627302948,Registration;General Information,Take Photo of Pump Station;Take photo of Pump Station,1749611796141;1749627462936
27040920,Pump Station Registration,Inspection Date,27060922,1749611905372;1749627302948,General Information on Pump Station;General Information,Inspection Date,1749611905374;1749627302950
27040920,Pump Station Registration,GPS Location,27120920,1749611049520,Registration,GPS Location,1749611742881
